Date      Low     2      3      4      5      6      7      8      9    High 
192701  -3.32  -4.63   2.71  -0.53  -0.43   0.92   0.81   0.36  -0.43  -0.23
192702   7.49   6.01   8.22   7.51   3.76   4.14   2.81   3.28   4.26   6.97
192703  -3.20  -3.01  -3.97  -4.76  -0.48  -2.39   2.10   0.61   1.03   5.46
192704   1.53  -2.87  -2.47  -1.35   2.61  -0.13   2.13  -0.60   1.83   5.52
192705   3.98   4.38   5.00   3.26   6.24   5.88   4.66   6.59   8.18   6.25
192706  -6.42  -3.52  -3.14  -2.58  -2.34  -1.53  -2.01  -1.56  -2.47  -1.52
192707   4.20   4.53   4.22   5.20   8.33   6.95   8.52   7.05   6.45  13.15
192708  -0.55   0.35   1.42   1.77   2.44   1.55   2.34   2.42   0.35   5.52
192709  -0.27   3.02   3.38   4.32   4.17   5.07   4.76   4.44   5.63   7.32
192710  -6.01  -3.07  -1.91  -3.07  -2.67  -3.86  -3.21  -5.38  -5.27  -6.07
192711  13.52   6.17   5.22   6.43   5.97   4.80   7.70   7.99  10.23   6.36
192712   4.88   0.34   0.50   4.10   2.03   1.08   1.80   1.13   5.22   5.07
192801  -0.38  -1.31  -1.55  -0.94   0.21   0.13  -0.26   0.37  -1.48  -0.87
192802  -1.28  -1.09  -1.18  -1.62  -1.28  -0.21  -1.75  -2.80  -2.59   0.21
192803   7.55   6.90   6.65   4.48   4.13   7.91   6.33   7.19  20.32  12.76
192804   7.51   7.51  13.25   6.98   4.11   4.48   1.27   2.98   1.26   3.76
192805   3.08   1.91  -2.96  -0.85   1.32   1.01   2.75   0.65   3.11   5.16
192806  -7.75  -8.34  -3.99  -3.96  -4.07  -3.47  -5.62  -5.07  -4.30  -3.54
192807  -0.41  -0.96  -0.13   0.24   1.24   0.86   0.47   0.05   2.53   2.18
192808   7.49   3.24   3.91   4.64   6.28   6.53   7.42  10.64  11.08   8.79
192809   1.58   4.49   0.69   1.19   0.36   4.22   4.50   4.16   6.18   5.50
192810  -3.79  -1.31   2.28   0.04   0.89   1.31   0.99   5.17   1.53   7.30
192811   7.85   7.97   9.32  11.14  11.51  10.55  18.44  10.64   5.64  24.36
192812  -3.12   0.32  -0.67  -0.29  -0.58  -1.83   2.05   3.39   0.31   2.18
192901   5.82   2.26   3.14   5.80   6.12   2.85   4.13   8.57   6.44  -2.74
192902  -3.58   2.39  -0.76  -2.18  -0.18  -1.02  -0.29   0.35   0.74   3.53
192903  -0.64  -0.20  -0.42  -2.30   3.05   1.90   0.19  -2.25  -2.95   2.27
192904  -7.96   1.96  -0.13   1.35   0.31   2.32   2.61   4.30   2.92   0.82
192905 -10.19  -9.61  -3.76  -3.97  -1.25  -8.57  -3.73  -3.97  -5.84 -12.52
192906  -1.73   3.76   4.85   6.45   4.83   6.51  11.18  12.64  18.44   9.40
192907   2.67  -0.41   1.33  -1.02   5.07   5.38   7.40   4.44   4.90   5.68
192908  -0.64   1.84   4.41   3.19   4.22   7.38  11.64  11.91  13.95   8.42
192909  -9.16 -11.00  -6.00  -4.54  -3.70  -4.67  -2.23  -7.80  -5.73  -3.31
192910 -32.78 -26.70 -26.64 -17.71 -10.12 -14.45  -9.00 -15.47 -15.86 -27.58
192911 -16.02 -13.68 -13.98  -9.08  -8.40  -7.91  -8.20 -10.79 -12.49 -16.32
192912  -3.07  -8.19   0.19   2.87   0.57  -0.86  -4.05   2.05   2.11   4.68
193001  13.67   7.73   4.84   6.91   6.56   8.11   3.95   3.81   7.72   3.80
193002   2.54   0.44   3.38   1.49   3.52   1.51   0.87   3.27   2.27   3.53
193003  12.90   3.10  12.09   9.96   6.79   5.47   6.13   6.35   6.13   8.55
193004  -1.76   6.54 -10.09 -10.17  -4.66   1.49  -3.06  -3.37  -0.96  -1.54
193005  -0.44  -7.95   4.90   0.15   1.36  -2.61  -4.16  -1.23  -0.90  -0.87
193006 -26.16 -24.78 -16.75 -22.44 -16.83 -17.14 -13.74 -10.96 -13.53 -16.02
193007   4.81   6.01   5.48   5.24   8.96   4.94   4.94   3.20   1.40   4.68
193008  -4.30  -0.68  -3.18  -3.47   0.68   1.46   2.33   0.64   0.28   1.18
193009 -20.91 -23.08 -22.99 -15.88 -14.50 -12.08 -13.25  -8.71  -9.86 -12.50
193010 -17.90 -14.26 -16.46 -15.14 -11.03 -10.03  -6.87  -6.13  -9.03  -7.28
193011   1.08   4.58  -4.11  -1.36  -4.10  -3.30  -3.74  -0.90  -3.47  -1.80
193012 -27.28 -13.71 -17.95 -13.77 -10.69  -9.48  -9.34  -4.20  -5.16  -2.70
193101  23.24  17.63   9.03  11.35  10.65   4.26   4.80   4.48   5.89   5.58
193102  23.76  30.83  19.19  20.86  19.18  12.00  12.50   8.45   7.81   6.40
193103 -15.34 -14.98 -10.24 -10.74 -11.64  -5.07  -9.00  -4.85  -4.74  -1.76
193104 -26.00 -17.12 -18.33 -19.14 -15.58 -11.92 -10.57  -9.11  -6.06  -4.25
193105 -19.43 -19.43 -18.57 -13.94 -15.42 -14.80 -12.82 -13.21 -11.74  -9.94
193106  37.52  35.63  20.67  22.97  20.15  15.25  17.30  11.72  10.81   8.25
193107 -14.99 -12.19 -10.88 -11.80  -9.24  -9.50  -6.48  -5.37  -4.58  -1.43
193108   8.43  -0.97   5.83  -0.02   2.87   0.40  -5.40  -0.92   1.02  -0.41
193109 -40.90 -38.97 -35.32 -27.76 -31.58 -28.94 -34.55 -27.12 -27.28 -23.03
193110   1.41   8.22   4.49   2.55   6.37   8.99  10.69   5.78  10.00  11.56
193111 -13.65 -20.09 -14.37  -9.99 -15.22 -11.38  -8.88  -5.96  -6.70  -6.43
193112 -30.08 -23.87 -21.79 -22.85 -19.94 -14.49 -12.95  -9.80 -11.11  -6.72
193201  17.02   9.73   2.74   1.83   0.64  -3.02  -4.06  -3.46  -0.87  -1.01
193202   9.89  -0.90   6.62  -0.12   7.10   4.52   5.66   8.33   5.48   1.39
193203 -20.58 -23.11 -17.21 -15.07 -13.99 -12.21 -14.35  -9.73  -6.76  -3.58
193204 -24.78 -20.54 -23.35 -21.99 -18.03 -22.95 -23.89 -19.53 -13.69  -9.95
193205 -36.21 -39.30 -32.67 -21.50 -25.75 -24.95 -16.05 -18.01 -18.26 -13.56
193206   6.04   2.64  -1.11  -7.26  -4.26   2.23  -1.35  -3.38   6.63   1.33
193207  74.31  79.83  61.64  52.26  44.27  44.22  32.12  32.48  22.17  13.98
193208  93.96  75.75  66.30  49.54  60.42  43.45  33.68  26.28  23.16  15.06
193209  -5.52  -5.21  -6.37   1.53  -6.67  -0.48  -2.26  -2.75  -4.99  -4.90
193210 -18.89 -16.30 -21.58 -12.68  -9.48 -11.48 -12.81  -9.94 -14.46  -3.20
193211   1.87  -8.53  -8.52  -7.24  -2.44  -2.61  -3.02  -8.40  -5.63 -20.76
193212  -7.36   2.18   5.31   2.89   2.18   5.58   4.92   4.86   6.95   2.53
193301  -1.28   1.72   2.50   4.99   0.31   0.87   1.77  -1.14   5.25  -2.45
193302 -24.05 -19.47 -19.63 -20.26 -14.05 -14.44 -16.39 -11.22 -16.22 -16.08
193303  -2.95   8.39   6.95   8.92   5.52   3.44  -3.03   2.79   6.90   8.46
193304  69.56  51.75  51.84  62.10  34.38  46.63  37.19  27.92  32.91  28.87
193305  47.34  33.16  16.72  19.96  18.04  25.52  22.25  20.96  20.96  19.31
193306  23.60  10.28   8.22  13.78  11.64   9.13  12.21  17.31  18.78  16.90
193307  -6.38  -8.29 -10.95  -9.06 -11.87 -14.28 -10.86  -6.01 -10.41 -13.32
193308   5.51   5.43  11.13  13.35  14.87  17.78  19.12  18.41  22.51  17.77
193309 -19.15 -12.14  -9.37  -8.25  -9.14  -5.07 -11.69 -12.74 -12.15  -7.19
193310  -8.51  -7.56  -7.27 -10.33  -8.28  -8.61  -7.22 -10.24  -8.83  -8.25
193311  -1.26   2.25  11.97  11.94   8.27   9.38   9.92  21.58   9.43   6.61
193312   0.79   3.03  -1.63   0.37  -0.18   0.85   2.50   7.95   6.12   1.86
193401  22.55  13.02  12.14   9.57   8.80  15.23  14.32  10.86  10.11  12.37
193402  -1.64   0.44  -4.44  -0.77  -3.44  -1.93  -4.11  -3.29  -3.55   0.07
193403  -0.60  -0.18   0.41  -0.88  -0.18  -0.41   3.71  -0.15   1.70   0.82
193404  -0.22  -0.12  -0.30  -3.12  -3.49  -0.68  -3.34  -4.40  -5.74  -8.06
193405  -5.77  -6.42  -5.80  -5.26  -9.58  -9.61  -8.72  -6.90 -11.56  -8.45
193406   1.85   5.25   2.62   3.25   1.59   3.33   2.64   0.75   2.86   2.66
193407 -27.03 -16.60 -18.38 -14.40 -13.49  -9.08  -8.85  -8.07  -7.31  -9.82
193408   2.76   2.61   7.02   6.38   5.16   5.13   6.28   4.85   6.63   8.30
193409   1.60  -0.18   1.57  -1.28  -0.94  -0.83  -1.04   1.22   0.33  -0.92
193410  -6.53  -5.12  -4.59  -3.83  -3.06  -1.06  -0.68  -2.46   0.98   3.50
193411  13.96  10.32   3.81  11.40   7.74   5.93  10.40   7.69  10.76  13.65
193412  -0.41  -3.71  -2.25   1.23   1.26  -0.02  -0.98   0.12   2.86   3.38
193501  -6.88  -6.04  -7.69  -5.11  -4.08  -0.70  -2.64  -1.70  -0.88  -0.59
193502 -21.26 -12.86  -7.07  -8.21  -5.32  -3.09  -1.12   1.95   3.93   3.27
193503   1.38  -3.96  -9.27  -7.10  -0.29  -6.19  -2.77  -2.96  -4.68  -1.27
193504   8.85  15.44  11.30  13.42  11.28   7.91   9.57   7.43   7.93   6.44
193505   4.75  11.01   3.97   2.86   7.40   4.91   2.91   4.05   2.61   1.51
193506  -0.01   5.07  11.85   7.77   8.81   5.25   4.77   5.06   6.40   6.58
193507  11.37  15.15  13.41  12.38   6.51   8.13   7.26   7.19   5.46   6.52
193508  20.68  23.24   3.44  -0.49  -0.40   3.30   3.93   2.73   0.82   3.53
193509 -12.40   1.03  -3.91   0.36  -1.12   3.19   4.07   2.69   4.90   8.73
193510   7.71   8.39   3.59   8.64   5.82   3.88   6.72   8.21   8.60  12.11
193511  18.85   6.04   6.97   5.08   3.68   2.52   5.88   3.47   5.91   2.97
193512  -0.38   5.85   4.50   4.14   6.93   2.22   1.81   3.38   5.84   8.10
193601  11.54   8.94   6.21   8.93   5.63   7.61   5.82   5.55   5.85  12.58
193602   2.17   0.43   1.35   0.22   6.39   2.93   3.31   3.79   1.94   1.32
193603  -1.04  -1.00   0.66   0.62   0.80  -1.54   5.52  -1.60   1.02   5.65
193604  -2.88  -4.54  -7.92  -7.52  -6.57 -10.13 -12.35 -10.83 -12.40 -12.49
193605   4.74   4.05   4.00   4.77   6.89   3.39   7.46   4.92   7.91   8.50
193606   3.16   2.08   1.62   1.46   2.57   3.24   1.82   4.16   3.90  -0.83
193607   0.99   2.92   4.23   7.11   9.00   8.51  11.65   5.28  12.25   9.68
193608   1.06   0.46  -0.22   1.88   3.50  -0.67  -1.03  -0.33   2.37  -0.33
193609   1.45  -0.65   2.58  -0.33  -0.42   2.71   1.04   0.99   3.35   1.59
193610   7.20   3.86   4.87   6.54   5.90   8.22   9.49   5.44  11.97   7.77
193611   1.87   5.13   2.65   3.66   3.34   2.51   1.19   5.53   2.25   3.12
193612  -1.38  -0.47  -0.03   0.46  -0.86  -0.71  -0.19   0.21   3.61   4.02
193701   0.45   4.60   4.36   2.36   2.11   4.98   2.64   5.13   1.56   4.56
193702  -0.37   1.12  -0.11   0.18  -0.28  -0.57   1.41   3.12   6.22   3.21
193703  -1.68  -1.45  -1.26  -1.69  -1.68  -1.50   2.06   5.12  -0.19   3.53
193704 -10.79  -6.82  -6.08  -6.08  -5.12  -6.16  -4.87  -8.08 -13.75 -14.75
193705  -1.94  -1.22   0.95  -0.20   0.18  -1.61  -2.53  -0.76   0.39  -1.94
193706  -4.69  -3.89  -4.12  -4.39  -4.22  -4.81  -4.76  -2.16  -4.43  -6.96
193707  11.66  11.15   6.94   6.49   8.07   8.49   9.24   9.19  11.63   9.79
193708  -8.50  -3.14  -5.23  -3.10  -4.83  -4.53  -3.00  -5.66  -6.88  -7.42
193709 -17.13  -9.75 -10.90  -7.12 -11.49 -14.34 -15.52 -18.74 -19.07 -20.60
193710  -6.22 -10.20  -7.02  -9.61  -8.78  -8.76  -8.47  -9.82 -11.76 -12.25
193711  -2.80  -8.74  -4.03  -9.77  -7.92  -9.64  -8.80  -5.00 -10.17 -10.94
193712 -16.02  -5.98  -8.01 -11.93  -9.47  -3.01  -2.98  -2.57  -2.04  -0.80
193801   7.44   4.69  -0.86   1.16  -1.05   4.00   2.06   0.39  -0.67  -1.04
193802   9.16   9.81   5.89   9.48   5.97   7.45   7.55   8.26   6.82   1.68
193803 -42.19 -40.39 -33.58 -32.54 -31.37 -30.91 -25.71 -25.02 -22.83 -17.31
193804  24.80  24.39  22.34  17.36  16.77  19.13  16.68  14.88  11.99  13.84
193805  -8.11  -8.87 -11.39  -8.24  -8.26  -7.77  -5.61  -6.22  -3.07   0.75
193806  43.79  43.33  42.63  40.65  39.77  35.30  32.01  27.45  16.42  10.45
193807  22.58   7.18  10.34  13.72  10.83   7.67  13.13   5.85   4.00   4.85
193808  -7.76  -5.26  -4.91  -8.12  -3.50  -5.07   0.28  -4.29  -2.11  -1.26
193809  -4.25  -0.10  -2.34  -0.41  -0.79   0.94   1.77   1.54   1.35   0.15
193810  22.37  14.89  16.63   9.58   6.84   6.19   6.64   6.48   7.56   6.82
193811 -10.71  -5.35  -3.90  -3.60  -2.46  -1.82  -0.84  -1.93  -0.61  -1.43
193812   0.98   4.45   6.02   3.37   4.28   3.82   4.56   3.64   2.87   8.76
193901  -4.19  -6.66  -3.16  -5.10  -6.95  -8.04  -6.43  -5.24  -7.78  -9.19
193902  -0.65   0.28   4.76   3.44   1.61   2.59   4.03   5.28   5.35   4.70
193903 -16.60 -10.35 -15.54 -11.20 -15.69 -11.77  -7.70  -8.32 -15.68 -18.24
193904   0.47  -0.63  -0.40  -1.64   1.12  -1.21  -1.64   0.62   0.00   2.20
