Date        Low     2      3      4      5      6      7      8      9    High 
19261103  -0.12   0.59  -0.09   0.27  -0.48  -0.23  -0.13   0.42   0.11   1.28
19261104   0.66   1.38   1.60   0.57   1.01   0.70   0.82   0.44   0.48   0.42
19261105  -0.86  -0.77  -0.19  -0.13  -0.04   0.11  -0.13   0.36   0.20   0.09
19261106   1.03   0.28   0.26   0.36   0.19   0.64   0.10   0.09   0.40  -0.68
19261108  -0.03   0.08   1.80   0.30   0.31   0.26   0.30   1.17   0.57  -0.17
19261109   1.05   0.91   0.44  -0.32   0.38   0.08  -0.06  -0.13   0.09   0.54
19261110   2.06  -1.06  -0.36  -0.41  -1.04  -1.22  -0.58  -0.55  -0.43  -0.65
19261111   0.59   1.19   2.40   0.56   0.46   0.81   0.54   0.57   0.45   0.58
19261112  -0.58  -0.46   1.45   0.62   0.55   0.49   0.23   0.32   0.19  -0.24
19261113   0.17  -0.06  -0.70  -0.30  -0.07  -0.49  -0.10  -0.32   0.00  -0.49
19261115   2.54   0.15   0.13   0.12   0.53   0.75  -0.01   0.55   0.34   0.33
19261116  -0.16   0.85  -0.11   0.94   0.11  -0.23   0.67  -0.14   0.00   0.45
19261117  -2.85   0.12  -0.28   0.01  -0.28  -0.33  -0.50  -0.50  -0.11  -0.41
19261118  -2.20  -0.67  -0.64  -0.82  -0.27  -1.07  -0.20  -0.39  -0.33  -0.41
19261119  -0.30  -0.93  -0.59  -0.64  -0.13  -1.00  -0.87  -0.53  -0.35  -0.92
19261120   1.89   0.95  -0.07   1.20   0.19   0.62   0.45   0.30   0.56  -0.07
19261122   0.04   2.01   0.52   0.81   0.30   0.73   0.47   0.42   0.69   0.83
19261123   0.12  -0.08   0.55   0.10   0.67   0.40   0.25   0.28   0.52   0.87
19261124   1.54   0.59   0.00   0.26   0.31  -0.17   0.32   0.09   0.19  -0.71
19261126   0.03   0.58   0.28  -0.30   0.35  -0.21   0.46   0.08   0.49   0.14
19261127   0.19  -0.41  -0.55  -0.91  -0.01   0.15  -0.21  -0.13  -0.17   0.03
19261129  -1.74  -0.49  -0.48  -0.65  -0.14  -0.02  -0.21  -0.08  -0.64  -0.69
19261130   1.15   0.24   0.02   0.96   0.37   0.31   0.58  -0.06   0.38   0.29
19261201   0.87   0.04   0.77   0.67   0.68   0.67  -0.01   0.19   0.22   0.80
19261202   0.83   0.15   1.61   0.38   0.59   0.83   0.36   0.48   0.51   0.50
19261203   1.23   0.78   1.36   0.63   0.26  -0.48  -0.04   0.17   0.17   1.28
19261204   0.12  -0.23  -0.41  -0.43  -0.33  -0.12   0.15  -0.14  -0.30  -0.19
19261206  -0.85  -0.11   0.02  -0.27   0.14   0.32   0.05   0.08   0.06   0.03
19261207   2.33  -0.52  -0.86   0.02  -0.09  -0.37  -0.38   0.02   0.07   0.41
19261208   0.48   0.24   0.13   0.03  -0.24  -0.56   0.27   0.03  -0.01  -0.05
19261209   1.11   0.49   0.54   0.35   0.49   0.65   0.32   0.38   0.51   0.33
19261210  -0.01   0.16   0.48   0.63   0.76   0.36   0.27   0.26   0.40   0.38
19261211  -0.18   0.09   0.81  -0.12   0.38   0.30   0.28   0.06  -0.11  -0.21
19261213   1.50   0.40   2.09   0.65   0.16   0.04   0.03   0.32   0.09   1.50
19261214  -0.27   0.69  -0.71  -0.26   0.09  -0.07  -0.12   0.21   0.31   0.41
19261215  -0.58   0.10  -0.03   0.42  -0.06   0.60   0.27   0.03   0.23  -0.14
19261216  -1.23  -1.12  -0.59  -1.21  -0.58  -0.50  -0.34  -0.38  -0.48  -1.10
19261217   0.73   0.12   0.99   0.18   0.88   0.54   1.02   1.44   1.30   0.40
19261218   0.65   0.62   0.83   0.05   0.33   0.26   0.32   0.50   0.36   0.83
19261220  -0.82  -1.07  -0.72  -0.22   0.03  -0.47  -0.15  -0.29  -0.39  -0.43
19261221   0.58  -0.34  -0.27  -0.77  -0.11   0.13   0.12  -0.12  -0.16   0.54
19261222   2.78  -0.45   0.16  -0.79   0.27   0.14  -0.29  -0.09  -0.14   0.27
19261223   1.27   0.02  -0.18   0.38   0.02   0.26   0.23   0.06   0.77   0.54
19261224  -0.54  -0.01   0.51   0.73   0.46   0.06   0.04  -0.20   0.28   1.44
19261227   0.40  -0.61  -0.55   0.10  -0.46  -0.11  -0.26  -0.18  -0.31  -0.02
19261228  -2.07  -1.85  -1.59  -1.46  -1.09  -1.22  -0.66  -1.20  -0.99  -1.34
19261229   2.95   0.03   0.80   0.41   0.21   0.35   0.27   0.57   0.40   0.89
19261230   0.28   0.19  -1.03   0.19  -0.62  -0.58  -0.27  -0.09  -0.12  -0.80
19261231   1.32   0.34   1.25   0.43   0.46   0.35   0.76   0.17   0.30  -0.55
19270103   0.11  -2.50  -0.97  -0.41  -0.37  -0.82  -0.49  -0.91  -1.00  -1.53
19270104   1.68   0.20   0.57  -0.04   0.35   0.19   0.25   0.59  -0.02   1.05
19270105   1.20   1.09   0.21   0.27   0.15   0.28   0.06   0.03  -0.02   0.08
19270106  -1.00   0.76  -0.15  -0.66  -0.95  -0.20  -0.08   0.03  -0.07  -0.11
19270107  -0.43   0.00   0.03   0.04   0.14   0.32   0.28   0.55   0.48   0.43
19270108   1.23   0.56   0.70  -0.22   0.24   1.17   0.17   0.31   0.23   0.57
19270110   0.40  -0.09   0.60   0.27   0.06  -0.26   0.22   0.51   0.34   0.24
19270111  -1.12  -0.24  -0.22  -0.31  -0.42  -0.23  -0.21  -0.13  -0.17  -0.72
19270112  -2.18  -0.48  -0.20   0.45  -0.14   0.36   0.07  -0.05   0.12   0.16
19270113   0.04  -0.30  -0.11   1.16   0.03  -0.26  -0.12  -0.15  -0.04  -0.44
19270114  -0.80  -0.82  -0.37   0.14  -0.08   0.18   0.01   0.12   0.52  -0.41
19270115   0.22  -0.26  -0.97  -0.04   0.33   0.10   0.24   0.26   0.30  -0.05
19270117  -1.80  -0.74   0.90   0.05  -0.21   0.12   0.15   0.09  -0.16  -0.73
19270118   0.29   0.53  -0.55   0.24  -0.19   0.00  -0.14  -0.08   0.04  -0.15
19270119   1.59   0.60   1.52   0.46   0.94   0.29   0.31   0.77   0.54   1.20
19270120  -0.40  -0.35  -0.20  -0.19  -0.75  -0.26  -0.15   0.11  -0.14   0.09
19270121   0.20   1.87  -0.49  -0.09  -0.22   0.22   0.15  -0.10  -0.15   0.20
19270122  -0.06  -0.55  -1.76  -0.58  -0.37  -0.15  -0.11  -0.27  -0.15  -0.90
19270124  -0.44  -0.80  -0.64  -0.73  -0.36  -0.50  -0.32  -0.34  -0.60  -0.60
19270125  -2.62  -0.80  -0.97  -1.19  -1.01  -0.40  -1.18  -1.92  -1.31  -0.50
19270126  -0.75   0.36   0.38  -0.03   0.21   0.05   0.10   0.36   0.31   0.61
19270127   0.27   0.97  -0.83  -0.12  -0.65  -0.17  -0.40  -0.56  -0.45   0.04
19270128   0.53   0.28   0.07   0.13  -0.08   0.14   0.17   0.41   0.13   0.40
19270129  -0.64   0.72   0.86   0.43   0.10   0.52   0.74   1.22   0.86   1.48
19270131  -0.93   0.53   0.58   0.46   0.49   0.63   0.36   0.46   0.70   1.18
19270201   1.28   0.03  -0.09   0.13   0.18   0.18  -0.21  -0.17  -0.10  -0.10
19270202   0.09   0.32   1.47   0.57   0.53   0.63   0.68   0.59   0.77   1.31
19270203  -0.14   0.10  -0.47   0.39   0.15   0.19   0.52   0.13   0.16   0.51
19270204   0.70   0.03   2.82   0.20   0.45   0.01   0.24   0.16   0.18  -0.15
19270205   0.31  -0.07  -0.17  -0.15  -0.01  -0.27  -0.24  -0.01  -0.08  -0.36
19270207   0.28   1.43  -0.44  -0.80   0.13  -0.05  -0.25  -0.11   0.14  -0.09
19270208   0.95   1.02  -0.34  -0.20   0.18  -0.05   0.43   0.07   0.18  -0.14
19270209   0.66   0.21   0.22   0.02  -0.11   0.05  -0.18   0.10   0.57  -0.24
19270210   0.18   0.10   0.53  -0.02  -0.16   0.07   0.28   0.51  -0.40   0.11
19270211   0.10   0.52   0.60   0.18   0.09   0.05   0.60   0.97   0.30   0.38
19270214  -0.08   0.48   0.62   0.53   0.57   0.45   0.25   0.24   0.50   1.33
19270215  -0.69   0.46  -0.31   0.38   0.41   0.50  -0.40   0.01   0.20  -0.23
19270216   0.16   0.26  -0.69  -0.16  -0.06   0.26   0.01   0.42  -0.05  -0.54
19270217   0.85   0.11  -0.81   0.38   0.02   0.43   0.61   0.55   0.11   0.63
19270218  -1.15  -0.35   0.00   0.05   0.28   0.69   0.54   0.08   0.24   0.20
19270219   2.89   0.10  -0.37  -0.13  -0.05  -0.01   0.11   0.37  -0.16  -0.01
19270221  -0.06  -0.32   0.05   0.22   0.17  -0.29  -0.60   0.12  -0.45   0.01
19270223   1.17   1.37   0.40   1.00   0.62   0.30   0.61   1.16   0.88   1.59
19270224  -0.64   0.56   0.34  -0.07   0.31   0.04   0.11   0.38  -0.10   0.20
19270225   1.13   0.97   0.28   0.34   0.12   0.58  -0.07   0.09  -0.14   0.70
19270226  -0.12   0.34   0.07  -0.05   0.07   0.03  -0.01  -0.12   0.03   0.60
19270228  -0.12   0.73   0.24   0.49  -0.10   0.41   0.24   0.40   0.84   2.42
19270301  -0.94  -0.56  -0.71  -1.00  -0.04  -0.21  -0.21  -0.24  -0.57  -0.42
19270302  -0.97  -0.81  -1.25  -0.90  -1.14  -0.63  -1.14  -1.16  -1.28  -2.26
19270303   0.45   0.45   0.40   0.83   0.71   1.27   0.87   0.84   1.13   2.39
19270304   0.44  -0.35  -0.23  -0.46  -0.28  -0.83  -0.35  -0.46  -0.33  -0.47
19270305   0.75  -0.71  -0.57   0.13   0.04  -0.27  -0.40  -0.11  -0.57  -0.55
19270307  -0.63  -0.58  -0.68  -0.59  -0.62  -0.33  -0.11  -0.20  -0.31  -0.19
19270308  -1.06   0.37  -0.08   0.14   0.09  -0.07   0.05   0.22   0.19   0.88
