  Date    Low     2      3      4      5      6      7      8      9    High 
  1927  14.92   7.03  20.00  21.22  33.17  24.15  36.82  28.70  39.69  67.16
  1928  18.19  19.68  27.05  22.05  25.93  35.23  40.87  42.76  50.14  88.56
  1929 -58.24 -47.59 -35.42 -21.39  -1.02 -12.91   7.35  -0.36   1.19 -30.17
  1930 -54.50 -48.43 -50.70 -48.65 -32.33 -30.11 -32.47 -18.12 -24.26 -21.50
  1931 -64.69 -58.59 -60.03 -53.36 -53.89 -48.89 -50.12 -41.73 -36.10 -24.21
  1932  27.08  -3.00 -11.99  -5.47   5.30  -1.42 -16.18 -15.31  -9.47 -25.12
  1933  63.38  63.70  54.80  92.23  46.88  73.26  52.20  87.36  83.71  50.66
  1934  -7.28  -4.04 -10.92  -0.43 -11.40   3.70   7.18  -1.51   5.63  15.26
  1935  27.22  84.66  31.51  35.77  44.93  34.97  47.58  49.48  57.10  74.65
  1936  31.96  22.58  21.07  30.31  41.42  27.57  36.59  24.13  50.84  45.70
  1937 -46.84 -30.97 -30.64 -37.81 -36.91 -35.89 -31.98 -28.92 -41.80 -45.63
  1938  33.55  28.30  31.28  28.58  24.25  28.19  51.32  24.58  17.41  25.16
  1939 -11.13  10.62   1.38   0.13   1.06   2.17   6.43   4.89  -1.95   0.03
  1940 -15.80 -11.13  -4.87   1.92  -6.21  -5.83  -7.51 -11.28 -10.19  -3.23
  1941 -28.60 -14.95 -15.69  -6.41 -13.49 -12.96  -3.47  -4.78  -1.88  -7.15
  1942  38.59  33.65  23.23  20.68   7.23  15.85  13.86   6.47  14.13  19.11
  1943  37.18  20.95  25.71  30.33  29.72  24.08  33.81  35.56  40.98  52.52
  1944  21.65  21.05  18.66  25.88  16.82  25.10  26.85  35.90  36.97  33.42
  1945  42.19  32.62  26.99  40.47  32.51  51.62  45.56  53.59  63.10  74.61
  1946 -16.42 -13.80  -1.68  -8.12   3.67  -3.15  -2.24  -4.78 -10.76  -3.64
  1947 -13.09  -7.62   0.15   2.94   4.83   6.06  14.05   8.26  -1.83   5.01
  1948 -14.25  -0.84  -5.13   9.22   1.17  -0.85  -2.35   4.70   5.08   8.53
  1949  30.50  22.00  22.85  19.14  19.42  15.07  22.77  21.66  15.91  27.40
  1950  17.46  27.26  19.47  30.57  33.25  29.25  26.41  38.83  43.56  34.97
  1951  13.34  14.24  15.73  14.17  21.01  16.11  24.50  28.02  30.49  21.04
  1952   3.14   8.96   8.12   6.19  10.84  18.14  14.13  18.88  12.65  18.41
  1953 -19.70  -5.52  -5.78  -5.82   1.84   3.79   3.41   3.64  10.00  -0.67
  1954  48.69  41.55  41.14  44.09  35.14  56.33  48.37  54.81  48.09  65.31
  1955  13.86  15.47  16.04  18.34  24.96  22.73  38.42  24.74  31.24  39.06
  1956  -6.11  -1.07   3.64   7.61   8.46   8.85  10.16  10.74  12.16  12.49
  1957 -25.43 -21.67 -13.09 -10.50  -6.35 -10.37  -6.53  -9.12 -15.41  -1.75
  1958  71.80  55.41  50.21  40.57  51.92  48.15  37.97  35.85  43.04  53.01
  1959  -2.06  -1.99  12.16  19.15  12.98  11.57  16.38  25.37  16.38  35.19
  1960 -13.47 -10.10  -3.52 -10.04   1.66  -1.25  -2.47   1.42  13.35  17.67
  1961  33.64  18.44  18.37  19.66  34.63  31.95  31.40  21.14  31.07  30.30
  1962 -20.13 -21.85 -20.31 -13.72  -9.32  -5.24 -12.50  -7.14  -4.84  -9.58
  1963   6.85  15.58  16.14  24.87  14.20  17.67  19.45  16.91  28.24  28.95
  1964   8.79  17.30  17.49  13.44  15.75  14.60  13.13  23.95  10.28  20.64
  1965  22.24  10.34   9.54  13.65   9.50   6.72   8.79  24.20  25.15  51.60
  1966 -15.44 -11.23 -13.19 -13.82  -8.52  -1.70  -6.52  -6.90  -0.98   5.39
  1967  36.65  32.28  24.76  23.66  12.44  24.26  23.70  36.34  38.89  66.12
  1968  20.29  19.42  11.29   3.69  25.13   6.44   2.75  12.10  22.64  32.67
  1969 -35.66 -17.33  -9.50 -15.51 -14.84 -13.50 -10.55 -13.12 -10.35  -5.92
  1970 -20.59  -2.16  11.46   9.49  11.97   4.23   2.74   3.58  -5.75  -8.96
  1971  11.75  16.97  34.23  14.91  10.35  23.75  19.69   9.70  14.08  28.56
  1972  -4.60   5.80   5.75  11.53  17.68  20.04  18.27  11.92  25.99  30.57
  1973 -53.22 -48.78 -38.27 -31.74 -21.71 -18.99 -12.88 -18.66 -13.82  -3.42
  1974 -39.18 -30.11 -26.48 -18.21 -28.90 -29.38 -28.12 -18.52 -20.61 -31.25
  1975  55.38  51.59  50.93  42.24  37.31  42.63  24.12  26.37  34.15  41.01
  1976  18.08  18.96  18.22  33.27  38.55  25.98  34.92  27.62  25.51  34.60
  1977 -17.68 -10.56  -6.71  -2.72  -3.13   0.30   0.99   8.00   9.61  15.24
  1978  -0.76   7.22   7.48   7.06  -2.35   9.70   4.16  13.33  23.78  30.26
  1979  16.95  14.97  16.73  12.28  16.35  22.70  18.79  36.97  41.69  58.24
  1980  29.80  14.78  20.46  15.27   8.06  33.13  36.95  49.49  57.00  53.74
  1981  -0.65  11.75   5.02  10.76   0.91  -8.03  -6.05 -11.24  -7.01 -14.09
  1982 -11.20   4.75  17.51  17.85   9.29  27.56  30.50  31.36  41.60  35.29
  1983  34.17  37.51  23.60  24.86  21.05  14.01  21.98  14.71  18.11  16.35
  1984 -20.47  -0.38   6.97   3.19   9.80   9.94   6.40   3.98   2.96  -3.75
  1985  10.62  26.66  31.29  39.98  31.44  40.75  30.91  33.97  31.56  36.27
  1986  -2.21  10.46  22.98  15.99  18.52  13.49  18.04  19.81  20.74  18.86
  1987  -8.40  14.61  11.11   2.36  -3.80  -3.53  -4.79   2.65  -1.98  10.51
  1988  17.99  30.97  31.15  25.82  18.43  11.58  18.31  11.32  19.97  12.60
  1989  -9.82   7.64  14.14  22.80  28.79  25.49  32.37  36.85  42.94  40.84
  1990 -41.61 -23.16 -15.77 -13.06  -8.76  -4.19  -1.25  -2.06  -0.50  -6.85
  1991  26.00  45.65  45.93  27.13  29.16  31.49  31.19  38.31  35.08  60.27
  1992   7.43  13.15   7.66  14.69  11.09   9.79   5.41   6.83   4.47  19.15
  1993   0.81   3.61  -1.77   1.55   3.43  10.44  10.44  23.57  20.40  35.39
  1994  -3.40   2.33  -0.67  -1.69  -2.45   3.03   0.80  -0.59  -3.15  -0.14
  1995  17.81  24.07  33.40  38.17  31.42  36.27  38.59  37.95  38.46  35.33
  1996  14.59  14.56  19.98  27.96  17.10  18.59  23.29  28.17  19.27  18.10
  1997   5.26  25.94  39.39  27.74  25.24  33.04  33.83  38.61  25.32  32.93
