Date,Open,Day Low,Day High,Close,Volume
1/16/2015,20.59,20.59,20.59,20.59,0
1/15/2015,20.31,20.31,20.31,20.31,0
1/14/2015,20.51,20.51,20.51,20.51,0
1/13/2015,20.59,20.59,20.59,20.59,0
1/12/2015,20.61,20.61,20.61,20.61,0
1/9/2015,20.79,20.79,20.79,20.79,0
1/8/2015,20.93,20.93,20.93,20.93,0
1/7/2015,20.52,20.52,20.52,20.52,0
1/6/2015,20.21,20.21,20.21,20.21,0
1/5/2015,20.37,20.37,20.37,20.37,0
1/2/2015,20.69,20.69,20.69,20.69,0
12/31/2014,20.68,20.68,20.68,20.68,0
12/30/2014,20.9,20.9,20.9,20.9,0
12/29/2014,21.04,21.04,21.04,21.04,0
12/26/2014,21.01,21.01,21.01,21.01,0
12/24/2014,20.9,20.9,20.9,20.9,0
12/23/2014,20.85,20.85,20.85,20.85,0
12/22/2014,20.91,20.91,20.91,20.91,0
12/19/2014,20.85,20.85,20.85,20.85,0
12/18/2014,22.85,22.85,22.85,22.85,0
12/17/2014,22.3,22.3,22.3,22.3,0
12/16/2014,21.82,21.82,21.82,21.82,0
12/15/2014,22.05,22.05,22.05,22.05,0
12/12/2014,22.21,22.21,22.21,22.21,0
12/11/2014,22.53,22.53,22.53,22.53,0
12/10/2014,22.43,22.43,22.43,22.43,0
12/9/2014,22.81,22.81,22.81,22.81,0
12/8/2014,22.78,22.78,22.78,22.78,0
12/5/2014,22.96,22.96,22.96,22.96,0
12/4/2014,22.92,22.92,22.92,22.92,0
12/3/2014,22.91,22.91,22.91,22.91,0
12/2/2014,22.8,22.8,22.8,22.8,0
12/1/2014,22.65,22.65,22.65,22.65,0
11/28/2014,22.92,22.92,22.92,22.92,0
11/26/2014,22.98,22.98,22.98,22.98,0
11/25/2014,22.85,22.85,22.85,22.85,0
11/24/2014,22.87,22.87,22.87,22.87,0
11/21/2014,22.73,22.73,22.73,22.73,0
11/20/2014,22.63,22.63,22.63,22.63,0
11/19/2014,22.55,22.55,22.55,22.55,0
11/18/2014,22.63,22.63,22.63,22.63,0
11/17/2014,22.43,22.43,22.43,22.43,0
11/14/2014,22.45,22.45,22.45,22.45,0
11/13/2014,22.44,22.44,22.44,22.44,0
11/12/2014,22.43,22.43,22.43,22.43,0
11/11/2014,22.43,22.43,22.43,22.43,0
11/10/2014,22.41,22.41,22.41,22.41,0
11/7/2014,22.31,22.31,22.31,22.31,0
11/6/2014,22.35,22.35,22.35,22.35,0
11/5/2014,22.22,22.22,22.22,22.22,0
11/4/2014,22.16,22.16,22.16,22.16,0
11/3/2014,22.31,22.31,22.31,22.31,0
10/31/2014,22.32,22.32,22.32,22.32,0
10/30/2014,21.98,21.98,21.98,21.98,0
10/29/2014,21.91,21.91,21.91,21.91,0
10/28/2014,21.97,21.97,21.97,21.97,0
10/27/2014,21.65,21.65,21.65,21.65,0
10/24/2014,21.72,21.72,21.72,21.72,0
10/23/2014,21.57,21.57,21.57,21.57,0
10/22/2014,21.22,21.22,21.22,21.22,0
10/21/2014,21.45,21.45,21.45,21.45,0
10/20/2014,20.9,20.9,20.9,20.9,0
10/17/2014,20.66,20.66,20.66,20.66,0
10/16/2014,20.37,20.37,20.37,20.37,0
10/15/2014,20.26,20.26,20.26,20.26,0
10/14/2014,20.29,20.29,20.29,20.29,0
10/13/2014,20.23,20.23,20.23,20.23,0
10/10/2014,20.72,20.72,20.72,20.72,0
10/9/2014,21.14,21.14,21.14,21.14,0
10/8/2014,21.65,21.65,21.65,21.65,0
10/7/2014,21.28,21.28,21.28,21.28,0
10/6/2014,21.65,21.65,21.65,21.65,0
10/3/2014,21.74,21.74,21.74,21.74,0
10/2/2014,21.5,21.5,21.5,21.5,0
10/1/2014,21.49,21.49,21.49,21.49,0
9/30/2014,21.89,21.89,21.89,21.89,0
9/29/2014,22.02,22.02,22.02,22.02,0
9/26/2014,22.06,22.06,22.06,22.06,0
9/25/2014,21.82,21.82,21.82,21.82,0
9/24/2014,22.23,22.23,22.23,22.23,0
9/23/2014,22.02,22.02,22.02,22.02,0
9/22/2014,22.12,22.12,22.12,22.12,0
9/19/2014,22.43,22.43,22.43,22.43,0
9/18/2014,22.53,22.53,22.53,22.53,0
9/17/2014,22.43,22.43,22.43,22.43,0
9/16/2014,22.38,22.38,22.38,22.38,0
9/15/2014,22.17,22.17,22.17,22.17,0
9/12/2014,22.34,22.34,22.34,22.34,0
9/11/2014,22.51,22.51,22.51,22.51,0
9/10/2014,22.48,22.48,22.48,22.48,0
9/9/2014,22.33,22.33,22.33,22.33,0
9/8/2014,22.51,22.51,22.51,22.51,0
9/5/2014,22.55,22.55,22.55,22.55,0
9/4/2014,22.43,22.43,22.43,22.43,0
9/3/2014,22.53,22.53,22.53,22.53,0
9/2/2014,22.62,22.62,22.62,22.62,0
8/29/2014,22.59,22.59,22.59,22.59,0
8/28/2014,22.49,22.49,22.49,22.49,0
8/27/2014,22.54,22.54,22.54,22.54,0
8/26/2014,22.55,22.55,22.55,22.55,0
8/25/2014,22.51,22.51,22.51,22.51,0
8/22/2014,22.37,22.37,22.37,22.37,0
8/21/2014,22.34,22.34,22.34,22.34,0
8/20/2014,22.33,22.33,22.33,22.33,0
8/19/2014,22.27,22.27,22.27,22.27,0
8/18/2014,22.14,22.14,22.14,22.14,0
8/15/2014,21.91,21.91,21.91,21.91,0
8/14/2014,21.86,21.86,21.86,21.86,0
8/13/2014,21.8,21.8,21.8,21.8,0
8/12/2014,21.58,21.58,21.58,21.58,0
8/11/2014,21.68,21.68,21.68,21.68,0
8/8/2014,21.55,21.55,21.55,21.55,0
8/7/2014,21.31,21.31,21.31,21.31,0
8/6/2014,21.42,21.42,21.42,21.42,0
8/5/2014,21.48,21.48,21.48,21.48,0
8/4/2014,21.69,21.69,21.69,21.69,0
8/1/2014,21.51,21.51,21.51,21.51,0
7/31/2014,21.56,21.56,21.56,21.56,0
7/30/2014,22.09,22.09,22.09,22.09,0
7/29/2014,22.04,22.04,22.04,22.04,0
7/28/2014,22.12,22.12,22.12,22.12,0
7/25/2014,22.16,22.16,22.16,22.16,0
7/24/2014,22.28,22.28,22.28,22.28,0
7/23/2014,22.24,22.24,22.24,22.24,0
7/22/2014,22.15,22.15,22.15,22.15,0
7/21/2014,21.97,21.97,21.97,21.97,0
