Date,Open,Day Low,Day High,Close,Volume
1/20/2015,40.7,40.32,40.89,40.83,"422,591"
1/16/2015,39.9,39.86,40.57,40.56,"143,535"
1/15/2015,40.6,39.98,40.65,39.98,"182,603"
1/14/2015,40.2,40.11,40.58,40.4,"209,614"
1/13/2015,41.19,40.34,41.42,40.66,"226,149"
1/12/2015,41.18,40.7,41.18,40.8,"164,259"
1/9/2015,41.45,40.9,41.45,41.04,"367,079"
1/8/2015,40.96,40.96,41.37,41.37,"214,073"
1/7/2015,40.19,40.19,40.73,40.69,"160,182"
1/6/2015,40.45,39.6,40.49,39.9,"344,979"
1/5/2015,40.71,40.23,40.85,40.37,"239,543"
1/2/2015,41.3,40.58,41.38,40.89,"422,678"
12/31/2014,41.51,41.06,41.65,41.06,"202,505"
12/30/2014,41.7,41.39,41.7,41.4,"131,299"
12/29/2014,41.55,41.53,41.76,41.72,"159,932"
12/26/2014,41.49,41.46,41.63,41.55,"110,896"
12/24/2014,41.3,41.26,41.46,41.38,"103,755"
12/23/2014,41.29,41.07,41.32,41.25,"186,753"
12/22/2014,41.12,40.95,41.14,41.1,"184,002"
12/19/2014,41.21,40.89,41.23,41.14,"221,833"
12/18/2014,40.83,40.59,41.1,41.1,"347,780"
12/17/2014,39.46,39.36,40.27,40.21,"153,256"
12/16/2014,39.52,39.28,40.06,39.3,"238,455"
12/15/2014,40.12,39.41,40.22,39.66,"230,567"
12/12/2014,40.43,39.95,40.43,39.96,"282,373"
12/11/2014,40.48,40.46,40.99,40.54,"205,438"
12/10/2014,41,40.28,41,40.35,"135,086"
12/9/2014,40.72,40.45,41.04,41.03,"310,875"
12/8/2014,41.44,40.9,41.56,41.13,"178,597"
12/5/2014,41.54,41.43,41.67,41.51,"154,917"
12/4/2014,41.42,41.33,41.63,41.51,"246,570"
12/3/2014,41.17,41.14,41.55,41.51,"158,180"
12/2/2014,40.92,40.86,41.17,41.13,"137,176"
12/1/2014,41.67,40.83,41.67,40.89,"222,571"
11/28/2014,41.78,41.5,41.78,41.54,"44,289"
11/26/2014,41.69,41.56,41.73,41.73,"143,600"
11/25/2014,41.66,41.49,41.77,41.6,"187,828"
11/24/2014,41.47,41.4,41.56,41.56,"257,803"
11/21/2014,41.73,41.21,41.73,41.3,"276,580"
11/20/2014,40.91,40.91,41.32,41.27,"341,839"
11/19/2014,41.06,40.89,41.16,41.07,"341,216"
11/18/2014,40.76,40.76,41.22,41.17,"387,873"
11/17/2014,40.91,40.73,40.97,40.79,"245,751"
11/14/2014,40.91,40.79,41,40.96,"145,686"
11/13/2014,40.98,40.78,41.16,40.94,"248,798"
