Date         0    Lo30   Med40    Hi30    Lo20    Qnt2    Qnt3    Qnt4    Hi20    Lo10    Dec2    Dec3    Dec4    Dec5    Dec6    Dec7    Dec8    Dec9    Hi10
192607  -99.99    0.14    1.64    3.40    0.37    1.01    1.53    1.38    3.66    0.41    0.35   -0.05    1.68    0.91    2.00    1.74    1.17    3.52    3.70
192608  -99.99    3.22    2.65    2.90    2.29    3.42    3.85    1.48    3.05    1.07    2.68    4.00    3.06    3.04    4.45    1.27    1.60    0.61    3.76
192609  -99.99   -1.41   -0.84    0.81   -0.67   -1.06    0.14   -0.19    0.81    0.98   -1.20   -2.01   -0.46   -0.34    0.50   -2.01    0.84   -0.78    1.25
192610  -99.99   -3.22   -3.45   -2.76   -3.18   -3.88   -2.71   -3.32   -2.74   -4.03   -2.91   -3.25   -4.27   -2.94   -2.55   -3.99   -2.95   -3.37   -2.57
192611  -99.99   -0.33    3.86    2.74   -0.83    2.60    3.82    3.28    2.71   -3.66    0.08    0.08    4.17    3.75    3.87    3.81    2.99    3.87    2.40
192612  -99.99    4.26    1.66    3.01    2.70    3.54    1.13    2.73    3.00   -2.22    4.21    5.60    2.34    0.91    1.29    2.03    3.12    3.12    2.97
192701  -99.99    1.40    1.65   -0.04    1.94    1.92    1.37    1.04   -0.12    0.51    2.35    0.95    2.50   -0.11    2.44    1.68    0.69    0.43   -0.27
192702  -99.99    6.48    7.06    4.17    7.78    5.98    6.96    5.02    4.23    6.30    8.19    5.35    6.35    6.06    7.60    7.41    3.71    4.89    4.04
192703  -99.99   -2.13   -1.39    0.92   -3.89   -1.03   -2.97   -1.07    1.23   -4.86   -3.62   -0.57   -1.30   -2.98   -2.96    0.30   -1.84   -0.71    1.78
192704  -99.99    3.88    0.44    0.84    5.22    1.07    0.42    0.20    0.93    4.70    5.37    2.71    0.14    0.19    0.57    0.56   -0.02   -0.19    1.24
192705  -99.99    9.37    7.24    5.63    9.82    8.47    7.70    6.07    5.61   10.27    9.70    8.97    8.19    5.33    9.33    6.46    5.83    6.27    5.43
192706  -99.99   -1.99   -1.04   -2.21   -2.55   -1.56   -0.51   -2.20   -2.16   -4.28   -2.07   -1.48   -1.60   -1.71    0.29   -1.42   -2.67   -3.19   -1.88
192707  -99.99    5.09    5.27    7.89    5.01    5.69    4.57    6.10    8.06    5.89    4.73    5.14    6.07    2.97    5.68    5.77    6.30    6.34    8.50
192708  -99.99   -0.29    0.22    2.60   -0.33   -0.09   -0.27    1.69    2.63   -1.51    0.04   -0.26    0.02   -1.10    0.30    0.78    2.23    1.60    2.89
192709  -99.99    0.65    4.31    5.16   -0.02    2.10    3.88    4.69    5.24    0.05   -0.04    1.11    2.77    2.01    5.14    5.23    4.37    4.58    5.41
192710  -99.99   -4.54   -2.51   -4.13   -7.09   -1.91   -2.79   -2.90   -4.24   -4.90   -7.78   -2.82   -1.31   -2.46   -3.01   -2.58   -3.09   -4.48   -4.18
192711  -99.99   12.58    7.77    6.64   11.86    9.06    7.91    7.92    6.51   15.63   10.66   13.04    6.45    7.39    8.24    8.03    7.85    7.53    6.26
192712  -99.99    2.06    3.12    2.32    3.82    1.80    4.90    2.76    2.19    2.77    4.17    0.94    2.40    3.20    5.96    1.54    3.48    5.87    1.27
192801  -99.99    5.02    1.90   -0.87    7.47    2.79    1.75    1.22   -1.05   10.69    6.43    3.41    2.35    3.04    0.97    1.93    0.81    0.62   -1.49
192802  -99.99   -2.55   -2.73   -1.10   -1.68   -3.48   -2.75   -2.82   -0.89   -1.36   -1.79   -3.13   -3.72   -4.09   -1.92   -2.41   -3.07   -1.85   -0.63
192803  -99.99    7.68    6.83    9.43    4.37    7.87    8.28    9.47    9.17    4.85    4.21    9.98    6.34    8.45    8.17    5.49   11.89    7.27    9.67
192804  -99.99   11.35    6.74    3.83   12.12    9.44    5.70    5.21    3.81   23.55    8.19   10.85    8.39    7.14    4.83    7.34    3.99    4.48    3.64
192805  -99.99    6.46    1.80    1.44    8.21    3.52    2.08    1.78    1.38    9.97    7.52    5.30    2.16    1.91    2.19    1.40    2.01    1.88    1.25
192806  -99.99   -8.93   -6.40   -3.95  -10.75   -6.89   -6.55   -6.01   -3.75  -12.21  -10.17   -7.69   -6.27   -7.51   -5.96   -6.29   -5.84   -4.38   -3.58
192807  -99.99   -0.51    0.92    0.99    0.54   -0.97    1.22    0.90    1.02   -1.60    1.33   -1.37   -0.71    0.91    1.43    1.09    0.79    1.62    0.86
192808  -99.99    2.80    6.96    7.01    3.57    4.46    6.44    8.16    6.86    1.11    4.47    2.18    5.92    5.22    7.29    7.84    8.35    6.41    6.98
192809  -99.99    4.69    5.51    2.86    4.93    5.79    5.48    5.33    2.58    8.66    3.60    4.50    6.58    4.02    6.46    5.23    5.40    4.17    2.17
192810  -99.99    2.41    1.72    1.66    3.24    2.55    2.21    0.01    1.90    3.25    3.24    1.72    3.04    3.31    1.47    0.81   -0.46    1.98    1.88
192811  -99.99   12.68   12.32   12.12   14.78    8.77   13.77   10.78   12.35   10.72   16.29   10.91    7.49   11.36   15.39   12.17    9.97   10.29   12.88
192812  -99.99   -2.16    1.35    0.36   -3.05   -0.80    0.42    2.01    0.24   -4.83   -2.42   -1.38   -0.43    0.59    0.32    2.88    1.49    1.36   -0.05
192901  -99.99    1.71    2.99    5.47    4.01    1.93    1.85    4.31    5.59    4.83    3.74   -0.28    3.27    1.19    2.26    4.12    4.43    5.85    5.52
192902  -99.99    1.24    1.81   -0.21   -0.79    2.57    0.77    0.96   -0.22   -1.27   -0.63    3.08    2.27    0.18    1.13    2.77   -0.14   -0.45   -0.16
192903  -99.99   -3.91   -4.51    0.36   -3.27   -5.31   -4.35   -3.33    0.69   -0.39   -4.21   -4.46   -5.81   -3.65   -4.77   -4.31   -2.71   -0.47    0.98
192904  -99.99    0.14    2.47    1.73    0.37    2.53    1.20    1.59    1.86    2.40   -0.33   -0.06    4.08    1.25    1.16    3.34    0.48    1.69    1.90
192905  -99.99  -14.58   -8.69   -4.87  -13.49  -11.83   -9.08   -6.52   -4.81  -15.58  -12.76  -15.54   -9.69   -9.08   -9.07   -8.04   -5.51   -3.99   -5.01
192906  -99.99    7.12   10.03   10.33    6.66    7.35    8.73   10.85   10.36    6.87    6.59    7.54    7.24    9.05    8.53   12.03   10.09   10.85   10.23
192907  -99.99    0.14    2.38    5.16   -1.77    1.57    2.43    2.71    5.40   -0.85   -2.08    1.48    1.63    2.34    2.49    2.56    2.79    4.87    5.54
192908  -99.99   -0.82    2.57    9.41   -3.30    1.31    1.73    4.42    9.89   -3.52   -3.23    0.85    1.60    0.27    2.75    3.78    4.75    7.59   10.45
192909  -99.99   -5.21   -3.71   -5.05   -8.08   -3.93   -3.26   -2.79   -5.33   -5.17   -9.07   -3.34   -4.30   -2.79   -3.57   -4.03   -2.13   -3.71   -5.71
192910  -99.99  -21.40  -21.23  -18.98  -20.37  -19.60  -20.08  -21.95  -18.75  -22.33  -19.66  -22.04  -18.10  -23.09  -18.00  -23.40  -21.19  -19.11  -18.67
192911  -99.99  -13.95  -12.43  -12.01  -14.29  -13.02  -12.09  -11.57  -12.11  -12.20  -15.04  -13.74  -12.60  -12.76  -11.66  -12.75  -10.98  -11.50  -12.26
192912  -99.99   -6.16   -0.33    2.17   -6.68   -4.22   -0.40   -0.56    2.50  -11.38   -4.95   -5.83   -3.29    0.28   -0.84    0.70   -1.16    3.58    2.24
193001  -99.99   12.41    7.79    4.88   13.69   10.55    7.76    5.69    4.87   16.24   12.81   11.61    9.95    6.77    8.40    7.17    4.96    4.65    4.92
193002  -99.99    2.62    1.97    2.89    2.03    2.94    3.05    1.63    2.95    5.14    0.92    2.99    2.90    3.14    2.98    0.43    2.22    3.67    2.78
193003  -99.99   11.54    8.95    7.36   12.50    8.77    9.39    7.76    7.38   11.53   12.85   10.95    7.50   12.95    7.05    8.88    7.22    6.39    7.62
193004  -99.99   -3.67   -4.89   -1.85   -6.94   -4.39   -4.34   -4.68   -1.60   -9.13   -6.13   -1.64   -6.05   -3.16   -5.16   -5.19   -4.44   -4.64   -0.87
193005  -99.99   -5.35   -3.10   -0.93   -5.28   -3.76   -2.34   -3.09   -0.78   -8.18   -4.24   -5.39   -2.73   -1.97   -2.59   -4.21   -2.57   -1.07   -0.72
193006  -99.99  -19.15  -16.80  -15.26  -19.27  -18.66  -16.06  -17.56  -15.04  -21.35  -18.55  -19.08  -18.40  -17.43  -15.06  -17.23  -17.70  -15.97  -14.82
193007  -99.99    2.07    4.50    4.30    2.76    3.82    4.63    4.13    4.31    3.92    2.39    1.61    5.16    5.58    4.03    4.18    4.10    5.01    4.16
193008  -99.99   -3.36   -1.60    0.61   -3.64   -1.81   -1.86   -0.62    0.67   -5.76   -2.94   -3.17   -1.01   -3.45   -0.85   -1.48   -0.15   -0.42    0.91
193009  -99.99  -19.62  -15.12  -12.04  -21.85  -15.81  -14.73  -13.76  -11.99  -17.41  -23.27  -18.11  -14.49  -14.16  -15.09  -15.70  -12.73  -13.82  -11.60
193010  -99.99  -10.50   -9.74   -8.78  -10.16  -10.92  -10.40   -9.59   -8.67   -8.81  -10.63  -10.71  -11.03   -9.47  -10.98   -8.65  -10.07  -11.24   -8.14
193011  -99.99   -3.56   -2.01   -2.82   -3.90   -2.88   -1.34   -1.85   -2.92   -5.86   -3.23   -3.33   -2.63   -1.07   -1.51   -2.56   -1.48   -2.85   -2.94
193012  -99.99  -16.87  -10.85   -7.04  -18.38  -15.39  -10.32   -9.67   -6.86  -19.82  -17.89  -15.90  -15.11  -10.67  -10.09  -10.22   -9.39  -10.46   -6.13
193101  -99.99   17.18    8.94    5.98   17.82   14.19   10.36    7.04    5.87   19.58   17.25   16.77   12.79    9.70   10.77    6.42    7.35    9.64    5.15
193102  -99.99   18.94   13.12   10.60   25.44   12.59   13.51   10.55   10.71   26.78   25.00   14.84   11.33   13.27   13.66   13.20    9.22   12.46   10.36
193103  -99.99   -5.43   -6.04   -6.22   -7.51   -3.47   -5.26   -7.74   -6.10   -2.63   -9.13   -4.00   -3.17   -5.41   -5.17   -7.70   -7.76   -8.20   -5.68
193104  -99.99  -16.90  -14.04   -9.29  -17.63  -16.32  -14.24  -12.54   -9.07  -18.04  -17.48  -16.42  -16.27  -13.71  -14.56  -13.18  -12.20  -12.45   -8.40
193105  -99.99  -11.65  -13.52  -13.11  -14.08   -9.61  -12.94  -15.91  -12.88  -13.06  -14.44  -10.06   -9.35  -11.57  -13.78  -15.34  -16.21  -16.17  -12.26
193106  -99.99   16.25   13.61   14.06   15.64   11.20   13.49   17.33   13.76   22.79   13.07   16.63    8.10   13.38   13.55   15.40   18.34   15.92   13.37
193107  -99.99   -6.05   -7.29   -6.44   -6.88   -6.52   -8.36   -6.82   -6.39   -3.24   -7.98   -5.48   -7.14   -8.46   -8.28   -6.23   -7.15   -7.47   -6.19
193108  -99.99   -4.42   -1.21    0.36   -5.24   -1.57   -1.90    0.85    0.27   -7.56   -4.50   -3.86   -0.17   -2.56   -1.48   -0.77    1.74   -0.35    0.38
193109  -99.99  -32.30  -29.52  -28.34  -32.18  -32.43  -31.38  -29.73  -28.14  -30.44  -32.71  -32.38  -32.46  -29.43  -32.64  -26.91  -31.24  -32.29  -27.36
193110  -99.99    5.78    8.55    7.88    4.76    9.04   10.02    8.89    7.73    2.30    5.53    6.47   10.55    6.96   11.98    6.73   10.14    8.95    7.52
193111  -99.99   -9.00   -8.09   -9.21  -11.53   -8.32   -7.81   -8.33   -9.26  -10.75  -11.77   -7.32   -8.88   -5.73   -9.09   -8.16   -8.42  -10.40   -9.06
193112  -99.99  -21.67  -13.38  -13.17  -24.02  -16.15  -16.91  -12.77  -13.09  -23.99  -24.03  -20.18  -13.83  -19.24  -15.42   -9.94  -14.35  -15.71  -12.63
193201  -99.99   10.80    0.56   -1.59   10.63    5.81    2.61   -1.46   -1.61    9.67   10.93   10.90    3.07    5.52    0.85   -1.83   -1.25    2.81   -2.35
193202  -99.99   -0.48    1.72    5.98    2.61   -1.15    1.87    2.58    6.19   -0.79    3.63   -2.33   -0.46    3.44    0.87    2.13    2.84    3.71    6.63
