Date,Open,Day Low,Day High,Close,Volume
1/16/2015,15.77,15.77,15.77,15.77,0
1/15/2015,15.71,15.71,15.71,15.71,0
1/14/2015,15.78,15.78,15.78,15.78,0
1/13/2015,15.81,15.81,15.81,15.81,0
1/12/2015,15.81,15.81,15.81,15.81,0
1/9/2015,15.74,15.74,15.74,15.74,0
1/8/2015,15.84,15.84,15.84,15.84,0
1/7/2015,15.7,15.7,15.7,15.7,0
1/6/2015,15.49,15.49,15.49,15.49,0
1/5/2015,15.55,15.55,15.55,15.55,0
1/2/2015,15.61,15.61,15.61,15.61,0
12/31/2014,15.63,15.63,15.63,15.63,0
12/30/2014,15.72,15.72,15.72,15.72,0
12/29/2014,15.75,15.75,15.75,15.75,0
12/26/2014,15.71,15.71,15.71,15.71,0
12/24/2014,15.68,15.68,15.68,15.68,0
12/23/2014,15.58,15.58,15.58,15.58,0
12/22/2014,15.62,15.62,15.62,15.62,0
12/19/2014,15.55,15.55,15.55,15.55,0
12/18/2014,15.58,15.58,15.58,15.58,0
12/17/2014,15.4,15.4,15.4,15.4,0
12/16/2014,15.28,15.28,15.28,15.28,0
12/15/2014,15.37,15.37,15.37,15.37,0
12/12/2014,15.42,15.42,15.42,15.42,0
12/11/2014,15.55,15.55,15.55,15.55,0
12/10/2014,15.46,15.46,15.46,15.46,0
12/9/2014,15.56,15.56,15.56,15.56,0
12/8/2014,15.6,15.6,15.6,15.6,0
12/5/2014,15.52,15.52,15.52,15.52,0
12/4/2014,15.45,15.45,15.45,15.45,0
12/3/2014,15.45,15.45,15.45,15.45,0
12/2/2014,15.4,15.4,15.4,15.4,0
12/1/2014,15.35,15.35,15.35,15.35,0
11/28/2014,15.47,15.47,15.47,15.47,0
11/26/2014,15.3,15.3,15.3,15.3,0
11/25/2014,15.22,15.22,15.22,15.22,0
11/24/2014,15.18,15.18,15.18,15.18,0
11/21/2014,15.11,15.11,15.11,15.11,0
11/20/2014,15.11,15.11,15.11,15.11,0
11/19/2014,15.14,15.14,15.14,15.14,0
11/18/2014,15.19,15.19,15.19,15.19,0
11/17/2014,15.09,15.09,15.09,15.09,0
11/14/2014,15.04,15.04,15.04,15.04,0
11/13/2014,15.03,15.03,15.03,15.03,0
11/12/2014,15.01,15.01,15.01,15.01,0
11/11/2014,15.01,15.01,15.01,15.01,0
11/10/2014,15.01,15.01,15.01,15.01,0
11/7/2014,14.96,14.96,14.96,14.96,0
11/6/2014,14.98,14.98,14.98,14.98,0
11/5/2014,14.95,14.95,14.95,14.95,0
11/4/2014,15.01,15.01,15.01,15.01,0
11/3/2014,14.95,14.95,14.95,14.95,0
10/31/2014,14.91,14.91,14.91,14.91,0
10/30/2014,14.8,14.8,14.8,14.8,0
10/29/2014,14.74,14.74,14.74,14.74,0
10/28/2014,14.8,14.8,14.8,14.8,0
10/27/2014,14.7,14.7,14.7,14.7,0
10/24/2014,14.67,14.67,14.67,14.67,0
10/23/2014,14.56,14.56,14.56,14.56,0
