Date,Open,Day Low,Day High,Close,Volume
1/20/2015,202.4,200.17,202.72,202.06,"130,991,010"
1/16/2015,198.77,198.55,201.82,201.63,"211,879,605"
1/15/2015,201.63,198.88,202.01,199.02,"176,613,906"
1/14/2015,199.65,198.57,201.1,200.86,"192,991,092"
1/13/2015,204.12,200.51,205.48,202.08,"214,553,306"
1/12/2015,204.41,201.92,204.6,202.65,"144,396,067"
1/9/2015,206.4,203.51,206.42,204.25,"158,567,288"
1/8/2015,204.01,203.99,206.16,205.9,"147,217,784"
1/7/2015,201.42,200.88,202.72,202.31,"125,346,709"
1/6/2015,202.09,198.86,202.72,199.82,"209,151,408"
1/5/2015,204.17,201.35,204.37,201.72,"169,632,646"
1/2/2015,206.38,204.18,206.88,205.43,"121,465,865"
12/31/2014,207.99,205.39,208.19,205.54,"130,333,829"
12/30/2014,208.21,207.51,208.37,207.6,"73,540,761"
12/29/2014,208.22,208.14,208.97,208.72,"79,643,948"
12/26/2014,208.31,208.25,208.85,208.44,"57,326,703"
12/24/2014,208.02,207.72,208.34,207.77,"42,963,399"
12/23/2014,208.17,207.4,208.23,207.75,"122,167,931"
12/22/2014,206.75,206.46,207.47,207.47,"148,318,934"
12/19/2014,206.43,205.61,207.33,206.52,"245,084,590"
12/18/2014,204.74,203.92,212.97,206.78,"257,633,887"
12/17/2014,198.44,198.29,202.34,201.79,"253,910,092"
12/16/2014,198.58,197.86,202.4,197.91,"259,543,848"
12/15/2014,201.98,198.78,202.53,199.51,"189,965,750"
12/12/2014,202.64,200.85,203.82,200.89,"202,330,191"
12/11/2014,203.88,203.71,206.19,204.19,"159,012,805"
12/10/2014,205.91,202.93,205.98,203.16,"159,856,394"
12/9/2014,204.37,203.91,206.6,206.47,"125,180,054"
12/8/2014,207.52,205.93,208.12,206.61,"108,588,152"
12/5/2014,207.87,207.55,208.47,208,"91,025,470"
12/4/2014,207.54,206.7,208.27,207.66,"91,316,591"
12/3/2014,207.3,207.1,208.15,207.89,"68,951,968"
12/2/2014,205.81,205.78,207.34,207.09,"74,507,192"
12/1/2014,206.4,205.38,206.54,205.76,"103,968,354"
11/28/2014,207.49,206.91,207.87,207.2,"57,890,088"
11/26/2014,207.29,207.03,207.76,207.64,"62,167,832"
11/25/2014,207.54,206.8,207.79,207.11,"79,108,301"
11/24/2014,207.17,206.91,207.39,207.26,"65,880,759"
11/21/2014,207.64,205.98,207.84,206.68,"142,327,285"
11/20/2014,204.26,204.18,205.71,205.58,"72,840,326"
11/19/2014,205.31,204.3,205.55,205.22,"82,373,009"
11/18/2014,204.44,204.44,205.92,205.55,"76,068,107"
11/17/2014,203.85,203.65,204.58,204.37,"80,440,954"
11/14/2014,204.1,203.72,204.49,204.24,"80,417,514"
11/13/2014,204.16,203.21,204.83,204.19,"85,357,918"
11/12/2014,203.35,203.31,204.24,203.96,"90,120,295"
11/11/2014,204.06,203.65,204.31,204.18,"54,499,375"
11/10/2014,203.38,203.13,204.04,203.98,"66,318,964"
11/7/2014,203.17,202.61,203.6,203.34,"89,539,712"
11/6/2014,202.39,201.64,203.26,203.15,"107,089,076"
11/5/2014,202.54,201.45,202.59,202.34,"91,708,574"
11/4/2014,201.23,200.06,201.6,201.07,"93,342,777"
11/3/2014,201.92,201.31,202.45,201.77,"93,734,143"
10/31/2014,201.78,200.77,201.82,201.66,"146,902,554"
10/30/2014,197.58,197.4,199.95,199.38,"113,329,976"
10/29/2014,198.55,196.8,199.12,198.11,"142,557,417"
10/28/2014,196.82,196.73,198.42,198.41,"106,735,936"
10/27/2014,195.73,195.03,196.45,196.16,"82,953,689"
10/24/2014,195.25,194.49,196.49,196.43,"117,927,286"
10/23/2014,194.62,194.26,196.2,194.93,"154,944,169"
10/22/2014,194.41,192.61,194.91,192.69,"151,822,409"
10/21/2014,191.68,191.48,194.2,194.07,"154,948,579"
10/20/2014,188.13,188.07,190.45,190.3,"130,010,813"
10/17/2014,188.42,187.62,189.75,188.47,"214,624,921"
10/16/2014,183.06,182.89,187.58,186.27,"270,391,488"
10/15/2014,185.16,181.92,187.69,186.43,"380,714,598"
10/14/2014,188.42,187.04,189.82,187.7,"215,846,527"
10/13/2014,190.46,187.3,191.15,187.41,"230,938,833"
10/10/2014,192.69,190.49,193.65,190.54,"221,908,954"
10/9/2014,196.33,192.58,196.6,192.74,"210,704,601"
10/8/2014,193.37,192.36,196.92,196.64,"186,461,453"
10/7/2014,195.28,193.22,195.72,193.26,"147,913,498"
10/6/2014,197.34,195.58,197.6,196.29,"104,778,335"
10/3/2014,195.68,195.08,196.94,196.52,"121,568,769"
10/2/2014,194.18,192.35,195.06,194.38,"157,285,182"
10/1/2014,196.7,193.91,196.77,194.35,"177,797,862"
9/30/2014,197.69,196.61,198.3,197.02,"131,302,082"
9/29/2014,196.2,196.05,197.89,197.54,"95,111,605"
9/26/2014,196.7,196.42,198.39,197.9,"103,546,740"
9/25/2014,199.04,196.27,199.05,196.34,"150,300,028"
9/24/2014,198.04,197.52,199.69,199.56,"107,275,635"
9/23/2014,198.43,197.95,199.26,198.01,"111,393,319"
9/22/2014,200.35,198.73,200.38,199.15,"125,552,758"
9/19/2014,201.52,200.29,201.9,200.7,"121,649,147"
9/18/2014,201.36,201.1,201.85,201.82,"94,990,300"
9/17/2014,200.77,199.75,201.68,200.75,"151,265,896"
9/16/2014,198.61,198.5,200.84,200.48,"116,200,722"
9/15/2014,199.16,198.38,199.32,198.98,"76,401,421"
9/12/2014,200.1,198.56,200.12,199.13,"117,478,516"
9/11/2014,199.27,199.12,200.33,200.3,"66,823,558"
9/10/2014,199.43,198.77,200.2,200.07,"67,251,103"
9/9/2014,200.41,198.91,200.55,199.32,"88,590,876"
9/8/2014,200.92,200,201.21,200.59,"64,145,745"
9/5/2014,200.17,199.41,201.19,201.11,"102,176,784"
9/4/2014,200.84,199.66,201.58,200.21,"85,236,442"
9/3/2014,201.38,200.22,201.41,200.5,"57,461,742"
9/2/2014,200.97,199.86,201,200.61,"72,425,793"
8/29/2014,200.45,199.82,200.73,200.71,"65,906,598"
8/28/2014,199.59,199.39,200.27,200.14,"58,330,373"
8/27/2014,200.43,199.94,200.57,200.25,"47,873,708"
8/26/2014,200.33,200.28,200.82,200.33,"47,298,324"
8/25/2014,200.14,199.15,200.59,200.2,"63,855,022"
8/22/2014,199.34,198.74,199.69,199.19,"76,107,359"
8/21/2014,199.09,198.93,199.76,199.5,"67,790,690"
8/20/2014,198.12,198.08,199.16,198.92,"72,762,541"
8/19/2014,197.84,197.44,198.54,198.39,"59,134,709"
8/18/2014,196.8,196.69,197.45,197.36,"75,424,360"
8/15/2014,196.47,194.31,196.65,195.72,"139,950,669"
8/14/2014,195.16,194.98,195.76,195.76,"57,370,793"
8/13/2014,194.29,193.96,195.06,194.84,"69,046,544"
8/12/2014,193.61,192.94,194.15,193.53,"73,631,640"
8/11/2014,193.97,193.71,194.66,193.8,"74,543,691"
8/8/2014,191.46,190.95,193.37,193.24,"117,014,384"
8/7/2014,192.94,190.55,193.13,191.03,"135,733,421"
8/6/2014,191.11,191.08,192.89,192.07,"94,818,317"
8/5/2014,193.1,191.31,193.6,192.01,"152,690,379"
8/4/2014,192.87,192.05,194.3,193.89,"91,340,487"
8/1/2014,192.56,191.57,193.76,192.5,"189,260,864"
7/31/2014,195.61,192.97,195.78,193.09,"183,479,441"
7/30/2014,197.65,196.16,197.91,196.98,"104,222,452"
7/29/2014,198.17,196.92,198.45,196.95,"80,466,351"
7/28/2014,197.76,196.62,198.09,197.8,"69,258,785"
7/25/2014,198.09,197.33,198.26,197.72,"76,837,257"
7/24/2014,198.83,198.45,199.06,198.65,"56,888,093"
7/23/2014,198.5,198.1,198.85,198.64,"65,611,830"
7/22/2014,198.01,197.87,198.56,198.2,"67,677,602"
7/21/2014,197.09,196.43,197.5,197.34,"67,591,618"
7/18/2014,196.35,196.24,197.91,197.71,"124,330,419"
7/17/2014,197.35,195.43,198.1,195.71,"145,398,459"
7/16/2014,198.11,197.42,198.26,197.96,"80,073,242"
7/15/2014,197.72,196.36,198.1,197.23,"111,346,230"
7/14/2014,197.61,197.44,197.86,197.6,"58,657,919"
7/11/2014,196.22,195.78,196.75,196.61,"64,243,410"
7/10/2014,195.22,195.06,196.86,196.34,"99,040,407"
7/9/2014,196.73,196.31,197.3,197.12,"72,992,322"
7/8/2014,197.15,195.76,197.22,196.24,"108,142,552"
7/7/2014,197.82,197.22,197.98,197.51,"61,696,447"
7/3/2014,197.79,197.64,198.29,198.2,"52,938,832"
7/2/2014,197.05,196.96,197.48,197.23,"52,474,832"
7/1/2014,196.2,196.13,197.63,197.03,"90,470,121"
6/30/2014,195.7,195.53,196.17,195.72,"70,504,228"
6/27/2014,194.98,194.89,195.88,195.82,"71,453,616"
6/26/2014,195.61,194.13,195.63,195.44,"84,311,822"
6/25/2014,194.29,194.25,195.78,195.58,"82,781,912"
6/24/2014,195.53,194.48,196.5,194.7,"96,236,917"
6/23/2014,195.99,195.52,196.05,195.88,"70,611,486"
6/20/2014,196.03,195.7,196.1,195.94,"100,587,108"
6/19/2014,196.43,195.8,196.6,196.48,"85,928,920"
6/18/2014,194.83,194.4,196.37,196.26,"105,266,767"
6/17/2014,194.02,193.81,194.97,194.83,"84,833,876"
6/16/2014,193.89,193.66,194.7,194.29,"87,424,332"
6/13/2014,193.92,193.3,194.32,194.13,"82,017,278"
6/12/2014,194.69,193.11,194.8,193.54,"106,350,200"
6/11/2014,194.9,194.48,195.12,194.92,"68,772,479"
6/10/2014,195.34,194.92,195.64,195.6,"57,129,440"
6/9/2014,195.35,195.17,196.05,195.58,"65,118,828"
6/6/2014,194.87,194.78,195.43,195.38,"78,696,219"
6/5/2014,193.41,192.7,194.65,194.45,"92,102,592"
6/4/2014,192.47,192.27,193.3,193.19,"55,529,372"
6/3/2014,192.43,192.25,192.9,192.8,"65,047,193"
6/2/2014,192.95,191.97,192.99,192.9,"64,655,648"
5/30/2014,192.19,192.03,192.8,192.68,"76,315,640"
5/29/2014,191.82,191.33,192.4,192.37,"64,376,573"
5/28/2014,191.52,191.06,191.82,191.38,"66,722,865"
5/27/2014,191.06,190.95,191.58,191.52,"72,010,355"
5/23/2014,189.76,189.59,190.48,190.35,"60,156,088"
5/22/2014,189.18,188.86,189.98,189.59,"61,549,345"
5/21/2014,188.09,188.06,189.22,189.13,"89,093,285"
5/20/2014,188.65,187.07,188.67,187.55,"111,644,478"
5/19/2014,187.69,187.52,188.89,188.74,"63,839,398"
5/16/2014,187.51,186.72,188.13,188.05,"97,457,678"
5/15/2014,188.68,186.48,188.72,187.4,"154,956,399"
5/14/2014,189.79,188.79,189.88,189.06,"72,366,848"
